,0,1,2,3,4,5,6,7,8,9,10,11
0,1654324200000,29691.86000000,29708.19000000,29673.16000000,29702.84000000,139.97623000,1654325099999,4155205.70425810,4788,77.17773000,2291034.53637920,0
1,1654325100000,29702.84000000,29714.00000000,29681.74000000,29694.90000000,148.25817000,1654325999999,4402817.68338850,5017,68.39928000,2031162.74226250,0
2,1654326000000,29694.90000000,29694.91000000,29646.27000000,29653.09000000,133.69102000,1654326899999,3966558.39972280,5283,46.62521000,1383274.76303120,0
3,1654326900000,29653.10000000,29679.59000000,29653.09000000,29668.84000000,113.60798000,1654327799999,3370396.30707510,4337,61.11926000,1813120.38255760,0
4,1654327800000,29668.84000000,29703.24000000,29668.84000000,29684.18000000,133.86699000,1654328699999,3974830.28079180,4624,75.76341000,2249550.63679550,0
5,1654328700000,29684.19000000,29705.81000000,29684.18000000,29700.96000000,97.09553000,1654329599999,2883217.23504760,4396,60.21588000,1788045.24691100,0
6,1654329600000,29700.96000000,29717.54000000,29681.16000000,29696.54000000,160.43492000,1654330499999,4765415.11506650,5486,83.68937000,2485729.15328240,0
7,1654330500000,29696.54000000,29774.91000000,29696.54000000,29730.43000000,237.51256000,1654331399999,7063845.49185140,7080,143.33563000,4262745.59147620,0
8,1654331400000,29730.42000000,29800.00000000,29730.42000000,29776.47000000,278.39712000,1654332299999,8289366.06739720,7061,148.62198000,4425115.11874890,0
9,1654332300000,29776.47000000,29777.30000000,29740.87000000,29750.03000000,149.37202000,1654333199999,4444386.94276880,5582,69.28689000,2061548.77286810,0
10,1654333200000,29750.03000000,29765.85000000,29732.41000000,29765.85000000,202.39830000,1654334099999,6021485.39450500,5725,93.75524000,2789255.73280460,0
11,1654334100000,29765.84000000,29771.32000000,29731.37000000,29738.26000000,237.87888000,1654334999999,7074613.28656350,6187,103.37529000,3074208.82399800,0
12,1654335000000,29738.26000000,29738.26000000,29673.64000000,29685.21000000,317.08705000,1654335899999,9419034.46034130,7403,112.49412000,3340897.16239600,0
13,1654335900000,29685.21000000,29724.97000000,29685.21000000,29724.96000000,126.75197000,1654336799999,3764912.16101680,4780,78.58344000,2333890.94584370,0
14,1654336800000,29724.96000000,29759.11000000,29724.96000000,29750.11000000,214.64617000,1654337699999,6384965.91447780,5787,118.01031000,3510159.50295940,0
15,1654337700000,29750.11000000,29791.04000000,29735.12000000,29735.13000000,230.96469000,1654338599999,6874217.21253190,5245,120.16341000,3576713.61081340,0
16,1654338600000,29735.12000000,29737.93000000,29706.70000000,29710.86000000,235.24639000,1654339499999,6992150.50409900,4937,85.45331000,2539770.57278920,0
17,1654339500000,29710.86000000,29729.90000000,29709.54000000,29729.90000000,150.31917000,1654340399999,4466991.07284360,4051,72.03743000,2140722.64301330,0
18,1654340400000,29729.90000000,29742.09000000,29729.44000000,29738.35000000,66.41517000,1654341299999,1974856.76606200,3824,33.54130000,997355.97801960,0
19,1654341300000,29738.35000000,29738.35000000,29701.11000000,29701.80000000,219.72063000,1654342199999,6528396.42297130,5714,65.19760000,1937023.26968500,0
20,1654342200000,29701.80000000,29741.42000000,29700.30000000,29719.67000000,145.86421000,1654343099999,4335387.95454880,4846,84.94767000,2524915.66697180,0
21,1654343100000,29719.67000000,29723.42000000,29594.91000000,29681.69000000,465.04995000,1654343999999,13790131.96279490,9636,220.53527000,6538292.06418400,0
22,1654344000000,29681.68000000,29703.64000000,29611.24000000,29641.27000000,329.91881000,1654344899999,9783326.67246600,9688,165.63449000,4912346.60110380,0
23,1654344900000,29641.26000000,29652.25000000,29585.52000000,29600.00000000,287.13420000,1654345799999,8502005.70664540,7745,107.96065000,3196811.75543440,0
24,1654345800000,29599.99000000,29624.82000000,29536.94000000,29556.45000000,262.94304000,1654346699999,7777912.45835980,6674,95.10258000,2813224.00240160,0
