,0,1,2,3,4,5,6,7,8,9,10,11
0,1654324080000,29693.37000000,29693.38000000,29691.85000000,29691.86000000,3.31139000,1654324139999,98322.28109650,298,0.71126000,21118.66196840,0
1,1654324140000,29691.86000000,29691.86000000,29691.85000000,29691.86000000,2.99321000,1654324199999,88873.96075550,217,1.84170000,54683.49856200,0
2,1654324200000,29691.86000000,29701.03000000,29691.85000000,29692.12000000,13.83665000,1654324259999,410917.85851040,421,6.86114000,203747.79116340,0
3,1654324260000,29692.11000000,29692.12000000,29684.36000000,29684.36000000,2.80528000,1654324319999,83286.19630830,270,0.72338000,21474.32059870,0
4,1654324320000,29684.37000000,29684.37000000,29684.36000000,29684.37000000,2.75396000,1654324379999,81749.55221410,232,1.21485000,36062.05689450,0
5,1654324380000,29684.36000000,29684.37000000,29681.09000000,29681.09000000,5.91380000,1654324439999,175538.09323570,278,0.80983000,24038.11573290,0
6,1654324440000,29681.09000000,29684.70000000,29681.06000000,29684.70000000,11.36882000,1654324499999,337448.62404950,421,7.90411000,234607.61162030,0
7,1654324500000,29684.69000000,29684.70000000,29673.16000000,29679.03000000,12.02848000,1654324559999,356982.63739090,390,5.35672000,158968.08043590,0
8,1654324560000,29679.03000000,29682.75000000,29678.73000000,29682.75000000,19.06444000,1654324619999,565819.98454210,284,15.97652000,474167.09043280,0
9,1654324620000,29682.74000000,29691.52000000,29681.62000000,29686.96000000,11.47836000,1654324679999,340729.45434960,304,6.92790000,205643.68818910,0
10,1654324680000,29686.95000000,29689.94000000,29686.95000000,29689.93000000,6.01019000,1654324739999,178431.74154130,261,2.61461000,77624.11701280,0
11,1654324740000,29689.93000000,29689.94000000,29676.92000000,29676.93000000,9.24983000,1654324799999,274547.17144550,336,2.85442000,84715.69681940,0
12,1654324800000,29676.93000000,29676.93000000,29676.92000000,29676.92000000,3.95175000,1654324859999,117275.77736220,243,0.87522000,25973.84267460,0
13,1654324860000,29676.92000000,29676.93000000,29675.00000000,29675.00000000,7.31007000,1654324919999,216931.05470020,296,1.00816000,29917.78341040,0
14,1654324920000,29675.01000000,29675.01000000,29675.00000000,29675.01000000,5.27419000,1654324979999,156511.59825150,220,1.00015000,29679.46125150,0
15,1654324980000,29675.00000000,29703.73000000,29675.00000000,29703.73000000,22.82775000,1654325039999,677755.22646690,489,20.79825000,617507.40538740,0
16,1654325040000,29703.72000000,29708.19000000,29701.87000000,29702.84000000,6.10266000,1654325099999,181280.73388990,343,2.25247000,66907.47475550,0
17,1654325100000,29702.84000000,29714.00000000,29702.62000000,29702.63000000,16.33840000,1654325159999,485361.64767330,412,9.30736000,276473.64176400,0
18,1654325160000,29702.63000000,29705.28000000,29695.01000000,29695.02000000,23.88966000,1654325219999,709604.18252320,413,6.30798000,187356.41812690,0
19,1654325220000,29695.01000000,29696.49000000,29695.01000000,29696.49000000,8.89536000,1654325279999,264149.48535730,273,2.98721000,88706.52802330,0
20,1654325280000,29696.48000000,29700.68000000,29694.76000000,29700.67000000,11.24757000,1654325339999,334006.19592170,404,4.96348000,147394.35229200,0
21,1654325340000,29700.68000000,29700.68000000,29693.21000000,29693.22000000,9.70109000,1654325399999,288102.87737030,341,1.75054000,51986.53398120,0
22,1654325400000,29693.21000000,29693.22000000,29681.74000000,29688.13000000,14.52948000,1654325459999,431348.55110340,402,4.29976000,127635.73956980,0
23,1654325460000,29688.13000000,29695.54000000,29688.13000000,29695.53000000,14.89843000,1654325519999,442361.17802080,445,12.48891000,370812.44654050,0
24,1654325520000,29695.53000000,29695.54000000,29688.13000000,29688.13000000,6.96391000,1654325579999,206759.73791410,297,1.42981000,42450.83313190,0
25,1654325580000,29688.13000000,29699.39000000,29688.13000000,29699.38000000,10.98013000,1654325639999,326028.22409810,340,9.44867000,280557.15065430,0
26,1654325640000,29699.38000000,29699.41000000,29699.38000000,29699.41000000,3.99063000,1654325699999,118519.29867530,265,2.90392000,86244.67543050,0
27,1654325700000,29699.40000000,29704.54000000,29699.40000000,29700.01000000,7.64124000,1654325759999,226967.27009440,326,2.62539000,77978.18303740,0
28,1654325760000,29700.01000000,29700.01000000,29699.99000000,29699.99000000,4.73141000,1654325819999,140522.87295730,221,1.92884000,57286.54937740,0
29,1654325820000,29699.99000000,29700.00000000,29690.99000000,29690.99000000,5.29869000,1654325879999,157357.42959310,324,2.98177000,88551.00336960,0
30,1654325880000,29691.00000000,29691.00000000,29686.65000000,29686.66000000,3.77493000,1654325939999,112073.70714950,262,0.51427000,15268.43963970,0
31,1654325940000,29686.65000000,29694.91000000,29686.65000000,29694.90000000,5.37724000,1654325999999,159655.02493670,292,4.46137000,132460.24732400,0
32,1654326000000,29694.90000000,29694.91000000,29688.02000000,29688.02000000,7.40613000,1654326059999,219908.12651130,352,2.27290000,67486.47621770,0
33,1654326060000,29688.03000000,29691.64000000,29687.99000000,29691.63000000,6.11406000,1654326119999,181522.12527880,389,4.49878000,133565.28109410,0
